VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3559,Edwards Plateau Limestone Shrubland,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Shrub,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.6
3561,Llano Uplift Acidic Herbaceous Glade,2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 733: Juniper-Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,34,109,153,0.133333,0.427451,0.6
3077,Chihuahuan Succulent Desert Scrub,2077,Sh Chihuahuan Succulent Desert Scrub,Shrub,641,Shrubland,Succulent Desert Scrub,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145,117,84,0.568627,0.458824,0.329412
3101,Madrean Oriental Chaparral,2101,Sh Madrean Oriental Chaparral,Shrub,607,Shrubland,Chaparral,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145,117,84,0.568627,0.458824,0.329412
3116,Madrean Juniper Savanna,2116,Tr Madrean Juniper Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 735: Sideoats Grama-Sumac-Juniper,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,145,117,84,0.568627,0.458824,0.329412
3291,Central Interior Highlands Calcareous Glade and Barrens Herbaceous,2401,Tr Central Interior Highlands Calcareous Glade and Barrens,Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 803: Missouri Glades,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,255,153,0,1,0.6,0
3363,Central Interior Highlands Dry Acidic Glade and Barrens,2363,Tr Central Interior Highlands Dry Acidic Glade and Barrens,Tree,670,Conifer-Hardwood,Glades and Barrens,SRM 803: Missouri Glades,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,153,0,1,0.6,0
3401,Central Interior Highlands Calcareous Glade and Barrens Woodland,2401,Tr Central Interior Highlands Calcareous Glade and Barrens,Tree,670,Conifer-Hardwood,Glades and Barrens,SRM 803: Missouri Glades,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,255,153,0,1,0.6,0
3486,Texas Saline Coastal Prairie,2486,He Texas Saline Coastal Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 806: Gulf Coast Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3446,South Florida Pine Flatwoods,2446,Tr South Florida Pine Flatwoods,Tree,684,Conifer,Pine Flatwoods,SRM 811: South Florida Flatwoods,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.8
3425,Florida Dry Prairie Grassland,2425,Sh Florida Dry Prairie,Herb,688,Grassland,Prairies and Barrens,SRM 814: Cabbage Palms Flatwoods,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,116,214,204,0.454902,0.839216,0.8
3566,Florida Dry Prairie Shruband,2425,Sh Florida Dry Prairie,Shrub,688,Grassland,Prairies and Barrens,SRM 814: Cabbage Palms Flatwoods,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,116,214,204,0.454902,0.839216,0.8
3396,Gulf and Atlantic Coastal Plain Tidal Marsh Herbaceous,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3483,South Florida Everglades Sawgrass Marsh,2483,Tr South Florida Everglades Sawgrass Marsh,Herb,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3490,Gulf and Atlantic Coastal Plain Tidal Marsh Shrubland,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Shrub,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3576,South Florida Everglades Forest,2483,Tr South Florida Everglades Sawgrass Marsh,Shrub,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3581,South Florida Everglades Shrubland,2483,Tr South Florida Everglades Sawgrass Marsh,Shrub,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
